movie_title,year,occasion,top_10_gross_in_millions,overall_gross_in_millions,top10_wow_change,overall_wow_change,top10_gross,overall_gross,num_releases,week_no,date
moana,2016,Post-Thanksgiving,83.75,95.81,-50.9%,-48%,83749622,95805897,131,49,Dec 2-4
moana,2016,Thanksgiving 3-Day,170.61,184.39,+16.4%,+16.7%,170608751,184385596,116,48,Nov 25-27
moana,2016,Thanksgiving 4-Day,202.56,217.25,-,-,202563369,217250328,55,48,Nov 24-27
moana,2016,Thanksgiving 5-Day,243.74,260.7,-,-,243739138,260702622,56,48,Nov 23-27
fantastic beasts and where to find them,2016,normal weekend,146.56,157.98,+0.5%,-0.3%,146558755,157984223,121,47,Nov 18-20
doctor strange,2016,normal weekend,145.9,158.44,-19.2%,-17.3%,145898093,158440850,122,46,Nov 11-13
doctor strange,2016,normal weekend,180.66,191.57,+143.5%,+115.7%,180664140,191568495,123,45,Nov 4-6
boo! a madea halloween,2016,normal weekend,74.2,88.83,-32%,-28.9%,74204699,88827696,123,44,Oct 28-30
boo! a madea halloween,2016,normal weekend,109.13,125.01,+28.4%,+26.3%,109125994,125010284,132,43,Oct 21-23
the accountant,2016,normal weekend,84.99,98.99,-8.7%,-5.1%,84988876,98992813,127,42,Oct 14-16
the girl on the train,2016,Indig. Peoples' Day wknd,106.77,117.97,-,-,106770187,117973713,68,41,Oct 7-10
the girl on the train,2016,normal weekend,93.11,104.32,-8.9%,-9.2%,93110131,104318304,126,41,Oct 7-9
miss peregrine's home for peculiar children,2016,normal weekend,102.19,114.92,+10.1%,+10.4%,102190772,114916308,136,40,Sep 30-Oct 2
the magnificent seven,2016,normal weekend,92.84,104.14,+30.6%,+15.7%,92840344,104137992,134,39,Sep 23-25
sully,2016,normal weekend,71.09,90.02,-11.5%,-10.7%,71090385,90021653,126,38,Sep 16-18
sully,2016,normal weekend,80.35,100.85,+20.1%,+0.7%,80346710,100847907,121,37,Sep 9-11
don't breathe,2016,normal weekend,66.89,100.11,-26.7%,-14.7%,66887892,100107664,106,36,Sep 2-4
don't breathe,2016,Labor Day wknd,85.74,128.36,-,-,85743900,128361944,98,36,Sep 2-5
don't breathe,2016,normal weekend,91.23,117.32,-18.8%,-11.2%,91226565,117321334,107,35,Aug 26-28
suicide squad,2016,Rio Olympics,112.42,132.09,-26.9%,-23.3%,112417199,132091889,111,34,Aug 19-21
suicide squad,2016,Rio Olympics,153.82,172.3,-29.4%,-24.7%,153823583,172300640,113,33,Aug 12-14
suicide squad,2016,Rio Olympics,217.75,228.77,+24.5%,+20.4%,217747182,228766438,100,32,Aug 5-7
jason bourne,2016,normal weekend,174.86,190.04,-2%,-3.1%,174855310,190037811,103,31,Jul 29-31
star trek beyond,2016,normal weekend,178.42,196.08,+17.8%,+20.2%,178420955,196083640,103,30,Jul 22-24
the secret life of pets,2016,normal weekend,151.41,163.1,-26.5%,-25%,151409743,163103247,110,29,Jul 15-17
the secret life of pets,2016,normal weekend,205.99,217.49,+14.7%,+14.1%,205989677,217491665,100,28,Jul 8-10
finding dory,2016,July 4th long wknd,218.01,230.97,-,-,218013006,230971432,85,27,Jul 1-4
finding dory,2016,normal weekend,179.58,190.59,+1.4%,+1%,179579258,190593683,93,27,Jul 1-3
finding dory,2016,normal weekend,177.11,188.68,-20.6%,-19.1%,177111633,188682746,105,26,Jun 24-26
finding dory,2016,normal weekend,223.18,233.18,+59.9%,+52.6%,223184760,233178561,99,25,Jun 17-19
the conjuring 2,2016,normal weekend,139.57,152.79,+12.8%,+13.2%,139567249,152792949,107,24,Jun 10-12
teenage mutant ninja turtles: out of the shadows,2016,normal weekend,123.68,135.0,-21.4%,-17.8%,123684021,134999656,102,23,Jun 3-5
x-men: apocalypse,2016,Memorial Day wknd,196.99,205.47,-,-,196994624,205474478,88,22,May 27-30
x-men: apocalypse,2016,normal weekend,157.29,164.13,+22.6%,+19.7%,157294653,164133840,109,22,May 27-29
the angry birds movie,2016,normal weekend,128.32,137.16,+4.3%,+4.8%,128324753,137158400,125,21,May 20-22
captain america: civil war,2016,normal weekend,123.03,130.91,-47.1%,-45.3%,123025320,130908594,119,20,May 13-15
captain america: civil war,2016,normal weekend,232.4,239.47,+139.7%,+120.5%,232395976,239468632,114,19,May 6-8
the jungle book,2016,normal weekend,96.94,108.6,-17.6%,-15.4%,96937478,108604032,114,18,Apr 29-May 1
the jungle book,2016,normal weekend,117.63,128.3,-28.7%,-27.4%,117626464,128304144,115,17,Apr 22-24
the jungle book,2016,normal weekend,165.03,176.69,+81.1%,+67.9%,165029225,176691491,118,16,Apr 15-17
the boss,2016,normal weekend,91.15,105.25,-23.1%,-19.6%,91145188,105246691,119,15,Apr 8-10
batman v superman: dawn of justice,2016,normal weekend,118.56,130.89,-51.3%,-48.1%,118559272,130889005,114,14,Apr 1-3
batman v superman: dawn of justice,2016,normal weekend,243.49,252.3,+110.3%,+92.1%,243491430,252300615,104,13,Mar 25-27
batman v superman: dawn of justice,2016,Easter wknd,270.07,278.49,-,-,270066590,278486400,54,13,Mar 25-28
zootopia,2016,normal weekend,115.77,131.31,-2%,-3%,115774645,131307311,121,12,Mar 18-20
zootopia,2016,normal weekend,118.19,135.3,-17.1%,-16.2%,118186835,135301106,111,11,Mar 11-13
zootopia,2016,normal weekend,142.57,161.5,+56.2%,+43.7%,142568989,161499059,99,10,Mar 4-6
deadpool,2016,normal weekend,91.28,112.39,-24.6%,-20.8%,91278176,112386016,91,9,Feb 26-28
deadpool,2016,normal weekend,121.12,141.85,-43.9%,-40.7%,121119706,141851056,106,8,Feb 19-21
deadpool,2016,normal weekend,215.81,239.15,+186.2%,+150.4%,215810637,239154233,103,7,Feb 12-14
deadpool,2016,Presidents' Day wknd,250.98,278.48,-,-,250977099,278484327,87,7,Feb 12-15
kung fu panda 3,2016,normal weekend,75.4,95.51,-36.3%,-31.4%,75395999,95508876,100,6,Feb 5-7
kung fu panda 3,2016,normal weekend,118.35,139.25,+23.6%,+22.6%,118353833,139252676,99,5,Jan 29-31
the revenant,2016,normal weekend,95.74,113.6,-34.2%,-31.6%,95736903,113596503,87,4,Jan 22-24
ride along 2,2016,MLK wknd,175.3,200.76,-,-,175297289,200759295,57,3,Jan 15-18
