rank,title,year,release_date,genre,prod_cost_range_million,worldwide_gross_range_million,domestic_gross_range_million,production_cost,domestic_gross,worldwide_gross,opening_weekend,theaters,runtime
78,green lantern,2011,2011-06-17,Action,196-201,213-223,115-120,200000000,116601172,219535492,53174303.0,3816.0,113.0
80,prince of persia: sands of time,2010,2010-05-28,Action,196-201,333-343,85-90,200000000,90759676,336359676,30095259.0,3646.0,115.0
81,dark phoenix,2019,2019-06-05,Action,196-201,243-253,60-65,200000000,65845974,246356895,32828348.0,3721.0,114.0
82,onward,2020,2020-02-28,Adventure,196-201,123-133,60-65,200000000,61555145,133317030,39119861.0,4310.0,114.0
83,wonder woman 1984,2020,2020-12-16,Action,196-201,163-173,45-50,200000000,46801036,166360232,16701957.0,2218.0,151.0
87,transformers: dark of the moon,2011,2011-06-29,Action,191-196,1113-1123,350-355,195000000,352390543,1123794079,97852865.0,4107.0,154.0
88,the mummy,2017,2017-06-02,Adventure,191-196,403-413,75-80,195000000,80101125,409953905,31668375.0,4035.0,107.0
89,jack the giant slayer,2013,2013-02-27,Adventure,191-196,193-203,60-65,195000000,65187603,197687603,27202226.0,3525.0,113.0
90,furious 7,2015,2015-04-01,Action,186-191,1513-1523,350-355,190000000,353007020,1514553486,147187040.0,4022.0,137.0
91,star trek into darkness,2013,2013-05-16,Adventure,186-191,463-473,225-230,190000000,228778661,467381584,70165559.0,3907.0,132.0
92,world war z,2013,2013-06-19,Action,186-191,523-533,200-205,190000000,202706711,531861650,66411834.0,3607.0,115.0
93,the great gatsby,2013,2013-05-10,Drama,186-191,343-353,140-145,190000000,144840419,353640419,50085184.0,3550.0,141.0
94,disney’s a christmas carol,2009,2009-11-06,Drama,186-191,313-323,135-140,190000000,137855863,315709697,30051075.0,3683.0,95.0
95,pacific rim,2013,2013-07-11,Action,186-191,403-413,100-105,190000000,101802906,411002906,37285325.0,3285.0,131.0
96,the matrix resurrections,2021,2021-12-16,Action,186-191,153-163,35-40,190000000,37686805,156467817,10749011.0,3552.0,148.0
97,the good dinosaur,2015,2015-11-25,Adventure,186-191,323-333,120-125,187500000,123087120,333771037,39155217.0,3749.0,92.0
98,iron man,2008,2008-05-02,Adventure,181-186,583-593,315-320,186000000,318604126,585171547,102118668.0,4154.0,126.0
99,the dark knight,2008,2008-07-11,Action,181-186,993-1003,530-535,185000000,533720947,998615789,158411483.0,4366.0,152.0
100,indiana jones and the kingdom of the crystal skull,2008,2008-05-22,Adventure,181-186,783-793,315-320,185000000,317101119,786635413,100137835.0,4264.0,123.0
101,brave,2012,2012-06-21,Adventure,181-186,553-563,235-240,185000000,237282182,554606532,66323594.0,4164.0,93.0
